name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Astana Kazakhstan,2024-11-01,5.9,-2.7,1.6,0,0,-7.4,-2.1,78.8,0.9,0,0,,,,55.8,24.5,207.2,1024.7,60.7,9.6,,,,,2024-11-01T08:07:12,2024-11-01T17:47:50,0,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-02,5.2,-3.4,0.8,0,0,-7.7,-2.8,79,0.1,0,0,,,,57.6,24.1,186.5,1026.7,60.9,9.7,,,,,2024-11-02T08:08:56,2024-11-02T17:46:04,0.02,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-03,4.4,-2.6,1.1,0,0,-8,-1.3,85,0.3,0,0,,,4,54,28.4,183,1023.1,68.4,9.9,,,,,2024-11-03T08:10:41,2024-11-03T17:44:20,0.06,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-04,4.4,-2.2,0.9,0,0,-7.9,-2.1,81.9,1.4,0,0,,,4,54,29.9,184.6,1023.9,74.9,10.6,,,,,2024-11-04T08:12:25,2024-11-04T17:42:38,0.09,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-05,3.9,-2.7,0.6,0,0,-8.3,-2.6,80.4,0.3,0,0,,,4,57.6,31,192.3,1024.8,70.4,10.5,,,,,2024-11-05T08:14:10,2024-11-05T17:40:57,0.13,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-06,3.2,-3.2,-0.1,0,0,-8.9,-2.7,84.2,0.2,0,0,,,4,61.2,30.2,191.4,1024.9,77.3,9.5,,,,,2024-11-06T08:15:54,2024-11-06T17:39:18,0.16,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-07,1.1,-6.1,-2.5,0,0,-11.8,-5.2,82.7,0.6,0,0,,,2,50.4,26.6,202.1,1024,69.5,9.9,,,,,2024-11-07T08:17:39,2024-11-07T17:37:41,0.2,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-08,-0.5,-8.3,-4.2,0,0,-14.2,-7,82.2,1.5,0,0,,,5,56.2,27.7,200.1,1026.1,65.6,9.2,,,,,2024-11-08T08:19:23,2024-11-08T17:36:06,0.23,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-09,-1,-10.1,-5.2,0,0,-15.9,-7.9,82.3,0.8,0,0,,,13,61.2,26.6,183.1,1027.4,59.9,9,,,,,2024-11-09T08:21:07,2024-11-09T17:34:33,0.25,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-10,-1.6,-9.5,-5.6,0,0,-15.4,-7.9,84.8,0.9,0,0,,,10,51.8,23.4,189.5,1029.5,59.4,8.9,,,,,2024-11-10T08:22:50,2024-11-10T17:33:01,0.3,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-11,-0.6,-9,-4.8,0,0,-14.7,-7.1,84.9,0.1,0,0,,,9,,20.9,188.3,1028.9,65.1,9.9,,,,,2024-11-11T08:24:34,2024-11-11T17:31:32,0.34,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-12,0.3,-8.1,-4,0,0,-14.2,-6.5,83.9,1.1,0,0,,,9,54,24.8,195.7,1024.9,54.5,9.7,,,,,2024-11-12T08:26:17,2024-11-12T17:30:05,0.37,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-13,-0.1,-7.4,-3.6,0,0,-13.7,-6.1,83.8,0.3,0,0,,,8,54,24.8,187.5,1025.5,62.1,9.2,,,,,2024-11-13T08:27:59,2024-11-13T17:28:40,0.41,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-14,-0.5,-8.7,-4.5,0,0,-15,-6.3,87.6,0.7,0,0,,,6.1,,23.4,171.9,1024.6,67.5,8.3,,,,,2024-11-14T08:29:42,2024-11-14T17:27:17,0.44,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-15,-2,-9.6,-5.5,0,0,-15.9,-7.3,86.9,0.9,0,0,,,9,39.6,23.8,190.4,1026.9,61.2,8.8,,,,,2024-11-15T08:31:23,2024-11-15T17:25:57,0.48,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-16,-1.6,-9.1,-5,0,0,-15.3,-7.3,85.2,0.6,0,0,,,9,50.4,25.2,201,1027.4,72.8,9.5,,,,,2024-11-16T08:33:04,2024-11-16T17:24:38,0.5,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-17,-1,-6.9,-4,0,0,-13.5,-6.2,85.5,0.2,0,0,,,8,50.4,28.4,199.3,1024.3,77,9.1,,,,,2024-11-17T08:34:45,2024-11-17T17:23:23,0.54,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-18,-1.7,-8.4,-5.1,0,0,-14.8,-7.2,85.6,1,0,0,,,11,,30.2,189.6,1022.4,70.8,8.6,,,,,2024-11-18T08:36:24,2024-11-18T17:22:09,0.58,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-19,-3.2,-11.3,-6.9,0,0,-18,-9.3,83.9,0.8,0,0,,,8,61.2,27.4,183.8,1020.7,66.2,9.4,,,,,2024-11-19T08:38:03,2024-11-19T17:20:58,0.61,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-20,-4.9,-12.9,-9.1,0,0,-20.4,-11.7,81.9,1.1,0,0,,,10,61.2,25.2,183,1024.4,65.9,9.5,,,,,2024-11-20T08:39:41,2024-11-20T17:19:50,0.64,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-21,-4.9,-13.5,-8.9,0,0,-21.4,-11.4,83,0.7,0,0,,,11,57.6,24.8,173.5,1028.4,64.8,8.8,,,,,2024-11-21T08:41:18,2024-11-21T17:18:44,0.67,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-22,-5.4,-14.6,-10,0,0,-21.7,-12.6,82.1,0.7,0,0,,,11,50.4,23.4,180.5,1029.6,49.5,8.7,,,,,2024-11-22T08:42:54,2024-11-22T17:17:40,0.71,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-23,-5.5,-14.7,-9.8,0,0,-21.5,-12.1,83.2,0.5,0,0,,,10,,24.5,206.7,1030.5,51.7,9.2,,,,,2024-11-23T08:44:29,2024-11-23T17:16:40,0.75,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-24,-4.8,-13.7,-9.5,0,0,-21.1,-11.9,83,0.4,0,0,,,14,57.6,24.5,183.6,1029.5,53.9,8.7,,,,,2024-11-24T08:46:03,2024-11-24T17:15:42,0.77,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-25,-4.6,-12.6,-8.9,0,0,-20.1,-11.4,83.1,0.4,0,0,,,13,75.6,26.3,204.9,1029.6,60.3,9.2,,,,,2024-11-25T08:47:35,2024-11-25T17:14:47,0.8,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-26,-5.7,-14.6,-10.4,0,0,-22,-12.8,82.9,0.4,0,0,,,11,,25.2,193,1032.5,44.6,9,,,,,2024-11-26T08:49:07,2024-11-26T17:13:55,0.84,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-27,-5.7,-14.4,-10.2,0,0,-21.9,-13.1,80.1,0.3,0,0,,,10,,25.9,181.7,1030.4,49.8,9.2,,,,,2024-11-27T08:50:36,2024-11-27T17:13:05,0.87,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-28,-4.7,-12.4,-8.2,0,0,-19.9,-10.6,83.4,0.1,0,0,,,13,54,24.1,192.4,1027,70.7,9.1,,,,,2024-11-28T08:52:05,2024-11-28T17:12:19,0.9,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-29,-5.2,-12.5,-8.3,0,0,-19.8,-10.4,85.2,0.4,0,0,,,12.7,55.4,27,203.9,1026.5,65.8,8.3,,,,,2024-11-29T08:53:31,2024-11-29T17:11:35,0.93,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-11-30,-6.9,-14.7,-10.8,0,0,-22.3,-12.9,84.6,1.4,0,0,,,21,43.2,24.5,205.5,1029.8,64.7,9,,,,,2024-11-30T08:54:56,2024-11-30T17:10:55,0.97,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-12-01,-7,-16.1,-11.4,0,0,-23.9,-13.7,83.7,0.7,0,0,,,22,,25.2,182.1,1032.2,72.2,9.2,,,,,2024-12-01T08:56:20,2024-12-01T17:10:17,0,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-12-02,-6.3,-16.5,-11.3,0,0,-24.1,-13.5,84.1,0.5,0,0,,,22,,25.2,170.1,1031.5,61.5,8.8,,,,,2024-12-02T08:57:41,2024-12-02T17:09:43,0.03,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-12-03,-6.1,-15.5,-10.9,0,0,-22.3,-13.1,84.4,0.3,0,0,,,22,,26.6,184.1,1031.2,61,9,,,,,2024-12-03T08:59:01,2024-12-03T17:09:12,0.07,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-12-04,-5,-13.1,-8.9,0,0,-20.9,-11,85.1,0.4,0,0,,,21,,29.5,193.6,1029.3,68.9,7.6,,,,,2024-12-04T09:00:18,2024-12-04T17:08:44,0.11,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-12-05,-5.3,-13.4,-9,0,0,-20.9,-11.2,84.6,0.4,0,0,,,21,64.8,32.4,204.3,1030.1,75.2,7.7,,,,,2024-12-05T09:01:33,2024-12-05T17:08:19,0.14,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-12-06,-6.4,-14.4,-10.4,0,0,-22.5,-12.8,83.1,0.8,0,0,,,21,72,28.4,199.8,1030,65.4,8.4,,,,,2024-12-06T09:02:47,2024-12-06T17:07:58,0.18,Partially cloudy,,partly-cloudy-day,
Astana Kazakhstan,2024-12-07,-7.6,-16.4,-12.4,0,0,-24.8,-15.1,80.7,0.5,4.8,2,,,20,61.9,25.2,185.6,1030.5,53.4,7.9,,,,,2024-12-07T09:03:58,2024-12-07T17:07:39,0.21,Partially cloudy,,partly-cloudy-day,
