name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Atbasar kazakhstan,2017-11-01,7.2,-0.8,3.6,5.4,-3.4,1.3,1.5,86.2,0,0,0,,0,0.1,28.4,21.6,251.8,1014.9,48.6,11.3,75.7,6.6,3,,2017-11-01T08:20:43,2017-11-01T17:58:45,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2017-11-02,8.4,-0.3,4.2,7.3,-1.3,3.1,1.2,81.8,0.9,100,8.33,rain,0,0,19.8,8.6,248.1,1017,91,15.3,70.7,5.9,3,,2017-11-02T08:22:31,2017-11-02T17:56:56,0.44,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"35078099999,remote"
Atbasar kazakhstan,2017-11-03,3.7,-0.1,0.9,1.2,-5.3,-3.6,0.1,94.4,15,100,4.17,"rain,snow",2.1,3.6,38.9,24.5,268.6,1012.6,96.8,9.3,37.2,3.2,2,,2017-11-03T08:24:18,2017-11-03T17:55:09,0.47,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2017-11-04,0.6,-2.4,-0.6,-1.8,-7.2,-4.9,-1.7,91.9,7,100,8.33,"rain,snow",1.4,6.9,42.8,28.8,251.2,1021.5,95.2,20,54.7,4.7,3,,2017-11-04T08:26:06,2017-11-04T17:53:23,0.5,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2017-11-05,5.9,-1.9,2.3,2.8,-6.8,-2,1.2,92.5,1,100,4.17,"rain,snow",0.5,5,38.9,28.8,232.5,1025,100,7.7,14.6,1.1,1,,2017-11-05T08:27:53,2017-11-05T17:51:39,0.54,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2017-11-06,6.7,1.9,4.2,4.1,-3.1,1.6,2.9,91.1,0.3,100,4.17,rain,0,1.1,27,21.6,252.5,1025.4,82.2,10,44.4,3.7,2,,2017-11-06T08:29:40,2017-11-06T17:49:57,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"35078099999,remote"
Atbasar kazakhstan,2017-11-07,3.3,-1.3,0.8,0.1,-5.7,-2,-1.4,85.9,0,0,0,,0,0.1,24.8,14.4,294.9,1027.5,76.3,20,63.5,5.4,3,,2017-11-07T08:31:28,2017-11-07T17:48:16,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
Atbasar kazakhstan,2017-11-08,5.3,-1.1,2.1,0.6,-5.7,-2.3,0.7,90.8,1.5,100,33.33,rain,0,0.1,48.6,36,230,1025,94.4,16.7,15.6,1.3,1,,2017-11-08T08:33:15,2017-11-08T17:46:38,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"35078099999,remote"
Atbasar kazakhstan,2017-11-09,3.9,-1.4,0,0.1,-6.5,-4.9,-1.6,88.9,5.4,100,8.33,"rain,snow",0.1,2.3,42.1,23,275.6,1015.1,93,20,45.7,4,2,,2017-11-09T08:35:02,2017-11-09T17:45:01,0.68,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"35078099999,remote"
Atbasar kazakhstan,2017-11-10,0.5,-2.8,-1.2,-2.5,-9.1,-5.9,-4.1,80.8,0,0,0,,0,2.8,37.4,21.6,283.1,1025.9,85.4,20,46.3,4,2,,2017-11-10T08:36:48,2017-11-10T17:43:26,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"35078099999,remote"
