name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kostanay Kazakhstan,2020-11-01,8,1,3.4,6.4,-3.6,-0.2,-0.6,75.6,0,0,0,,0,0.3,29.2,25.2,218,1024.8,93.8,15.1,44.1,3.9,3,,2020-11-01T08:44:14,2020-11-01T18:13:14,0.52,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-02,2,-1,0.5,0.9,-4.6,-2.1,-2.7,79,0,0,0,,0,0.2,28.4,18,82.2,1031.5,97.6,12.8,33.2,3,1,,2020-11-02T08:46:08,2020-11-02T18:11:19,0.56,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-03,3,-3,-0.2,1.9,-5.9,-1.8,-2.5,85.1,0,0,0,,0,0.1,22,14.4,310.3,1033.6,84.4,14.3,61.6,5.4,3,,2020-11-03T08:48:01,2020-11-03T18:09:26,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-04,7,-2.4,1,4.4,-7.3,-2.6,-1.1,86.7,0,0,0,,0,0,32.8,25.2,212,1033.9,49.2,10.5,67.1,5.9,3,,2020-11-04T08:49:55,2020-11-04T18:07:34,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-05,8,-2,2.5,7.3,-5.8,-0.4,0.1,85.2,0,0,0,,0,0,29.2,18,201.6,1025.6,53.6,13.5,61.2,5.2,3,,2020-11-05T08:51:49,2020-11-05T18:05:44,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-06,12.6,4.4,7.1,12.6,0.1,4.6,0.5,64.8,0,0,0,,0,0,40.3,28.8,185.3,1017.3,90.8,13.7,38.7,3.4,2,,2020-11-06T08:53:43,2020-11-06T18:03:56,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,remote,28952099999"
Kostanay Kazakhstan,2020-11-07,4.9,2,3.3,1.7,-2.9,-0.9,-1.5,71.6,0,0,0,,0,0,44.3,25.2,176.8,1004.5,87.2,12.3,26,2.3,1,,2020-11-07T08:55:36,2020-11-07T18:02:10,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,remote,28952099999"
Kostanay Kazakhstan,2020-11-08,4.4,1,2.8,1.9,-4,-1.3,0.8,86.7,3,100,8.33,"rain,snow",0,0.3,48.6,32.4,239.1,997.6,86.6,12.1,27.5,2.3,1,,2020-11-08T08:57:29,2020-11-08T18:00:26,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,rain,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-09,5.1,1,2.7,1.9,-5.6,-2.1,-1.5,74.9,1.9,100,8.33,"rain,snow",0.1,0.1,57.6,39.6,255.3,1001.1,50.5,14.7,59.3,5,3,,2020-11-09T08:59:22,2020-11-09T17:58:44,0.8,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-10,1.9,-3.7,-0.7,-2.1,-8.6,-5.9,-4.5,76,0,0,0,,0,0,49.3,28.8,227.1,1009.4,66.3,13.9,43.7,3.8,2,,2020-11-10T09:01:15,2020-11-10T17:57:03,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-11,0.5,-7,-3.1,-2.8,-12.4,-7.5,-5.4,84.1,0.6,100,4.17,"rain,snow",0,1.3,45,28.8,263.7,1006,76.6,13.5,45.1,4.1,2,,2020-11-11T09:03:07,2020-11-11T17:55:25,0.86,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-12,-1.9,-10,-5.9,-2.7,-16.5,-10.5,-8.8,81.1,0.7,100,4.17,snow,0,2.5,34.2,21.6,269.2,1014.1,66.7,13.4,50.7,4.4,2,,2020-11-12T09:04:59,2020-11-12T17:53:49,0.9,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-13,-2.1,-7,-4.8,-5.5,-13.6,-9.9,-6.8,86.2,0,0,0,snow,0.6,2.8,44.6,25.2,230.4,1014.1,71.5,9.4,35.3,3.1,2,,2020-11-13T09:06:51,2020-11-13T17:52:15,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-14,-7,-13,-9,-7.4,-20.2,-15.5,-11.1,85.1,1.8,100,8.33,snow,0,4.7,38.2,28.8,343.7,1017.5,91.2,10.9,41.3,3.5,2,,2020-11-14T09:08:42,2020-11-14T17:50:44,0.97,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-15,-10,-13,-11.5,-16.8,-23.2,-20.1,-13.7,83.8,0.7,100,8.33,snow,0.3,5.8,45,28.8,347.6,1025.7,97,8.9,35.1,2.9,2,,2020-11-15T09:10:32,2020-11-15T17:49:15,0,"Snow, Overcast",Cloudy skies throughout the day with snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-16,-10,-18,-13.5,-13,-25.1,-20.7,-15.9,81.9,0.7,100,8.33,snow,0,5.9,33.5,25.2,339.2,1035.7,60.6,10.1,47.2,4,2,,2020-11-16T09:12:22,2020-11-16T17:47:48,0.03,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-17,-9.2,-22,-17.2,-9.2,-26.4,-19.5,-19.7,81.3,0,0,0,snow,7,6.5,19.4,14.4,251.5,1043.1,41.8,11.5,51.8,4.6,2,,2020-11-17T09:14:11,2020-11-17T17:46:23,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-18,-4,-17,-7.6,-7,-23.9,-11.8,-9.8,84.9,0,0,0,,0,6.8,22,18,277.1,1040.1,82.5,10.7,26.6,2.3,1,,2020-11-18T09:15:59,2020-11-18T17:45:02,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-19,-5.9,-16,-10,-9.4,-21,-14,-12.8,80.5,0.3,100,4.17,snow,0,6.1,18,14.4,291.2,1039.4,57.6,13.5,46.3,4,2,,2020-11-19T09:17:46,2020-11-19T17:43:42,0.13,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-20,-5.7,-16,-10.6,-11.1,-22.7,-17.1,-13.5,80.1,0,0,0,,0,6,30.6,25.2,189.9,1037.6,1.3,13.5,52.6,4.4,3,,2020-11-20T09:19:32,2020-11-20T17:42:26,0.17,Clear,Clear conditions throughout the day.,clear-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-21,-5.4,-16,-11.5,-5.4,-23.9,-15.9,-14.7,77.8,0,0,0,,0,6,25.9,14.4,191.5,1037.8,0,13.5,52.4,4.3,3,,2020-11-21T09:21:18,2020-11-21T17:41:12,0.2,Clear,Clear conditions throughout the day.,clear-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-22,-2,-18,-12.2,-2,-23.4,-13.1,-15.6,76.7,0,0,0,,0,6,10.1,7.2,53.1,1037.8,3.8,10.2,51.4,4.3,3,,2020-11-22T09:23:02,2020-11-22T17:40:00,0.25,Clear,Clear conditions throughout the day.,clear-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-23,-3,-18,-12.7,-5,-23.4,-15.4,-15.6,79.7,0,0,0,,0,6,16.6,14.4,155.8,1035.7,35.5,9.7,49,4.3,2,,2020-11-23T09:24:44,2020-11-23T17:38:52,0.26,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-24,-9.7,-13.4,-12,-12.6,-20.2,-17.6,-13.7,86.9,0,0,0,,0,5.3,20.2,14.4,147.2,1032.7,82.3,10.2,38.7,3.3,2,,2020-11-24T09:26:26,2020-11-24T17:37:46,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-25,-6.9,-14,-10.1,-10,-20.3,-14.2,-12.1,85.6,0.2,100,4.17,snow,0,4.8,23.8,14.4,136,1031,86.3,7.7,37.8,3.3,2,,2020-11-25T09:28:06,2020-11-25T17:36:44,0.33,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-26,-7,-16,-12,-11.2,-22.7,-16.8,-14,84.6,0.3,100,4.17,snow,0.5,4.7,22,14.4,137.5,1028.2,65.3,8.3,21.8,1.9,1,,2020-11-26T09:29:45,2020-11-26T17:35:44,0.36,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-27,-6,-10.1,-8.4,-6,-15.5,-10.4,-10.1,87.8,3,100,4.17,snow,1.2,7,14.8,10.8,51.9,1025.4,97.8,4.8,30.7,2.5,2,,2020-11-27T09:31:22,2020-11-27T17:34:48,0.4,"Snow, Overcast",Cloudy skies throughout the day with afternoon snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-28,-8,-19,-11.6,-10.3,-27.6,-17.3,-13.6,85.1,0.6,100,4.17,snow,0,7.6,28.1,18,341.3,1033.2,96.2,12.6,26.2,2.2,1,,2020-11-28T09:32:57,2020-11-28T17:33:54,0.43,"Snow, Overcast",Cloudy skies throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-29,-14.6,-21,-17.8,-15.5,-27.5,-24.1,-19.8,84.3,0.3,100,4.17,snow,0,7.8,18.7,10.8,328.4,1047.2,53.3,8.3,26.7,2.2,1,,2020-11-29T09:34:30,2020-11-29T17:33:04,0.46,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-11-30,-16,-21,-18.5,-16,-28.3,-21,-20.6,83.5,0.2,100,4.17,snow,0,7.8,13.3,10.8,338.7,1051.3,86.3,6.6,26.5,2.3,1,,2020-11-30T09:36:02,2020-11-30T17:32:17,0.5,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-01,-17,-23,-19.4,-17.4,-31.1,-22,-21.8,81.6,0,0,0,snow,8,8,16.2,10.8,33.7,1051.4,65.7,7.3,33.7,2.9,2,,2020-12-01T09:37:32,2020-12-01T17:31:33,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-02,-18,-25,-21.4,-19.8,-32.4,-28.2,-23.9,79.9,0,0,0,,0,8,19.8,18,21.1,1045,55.1,12.9,25.6,2.1,1,,2020-12-02T09:38:59,2020-12-02T17:30:53,0.56,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-03,-14,-24.6,-18.7,-21,-30,-26,-21,82.8,0,0,0,,0,7.6,33.8,21.6,15.2,1037,92,10.6,22.7,2,1,,2020-12-03T09:40:25,2020-12-03T17:30:16,0.6,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-04,-12,-23.4,-17.3,-15.4,-30,-24,-19.3,84.7,0.2,100,4.17,snow,0,7.3,31,18,2.1,1037.4,86.6,8.9,22.7,2,1,,2020-12-04T09:41:48,2020-12-04T17:29:42,0.63,"Snow, Partially cloudy",Partly cloudy throughout the day with afternoon snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-05,-10.4,-20,-12.1,-14.6,-25.7,-17.8,-13.9,87.2,0,0,0,,0,7.3,20.5,18,16.9,1040.9,92.6,6.4,21.8,1.8,1,,2020-12-05T09:43:09,2020-12-05T17:29:12,0.67,Overcast,Cloudy skies throughout the day.,cloudy,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-06,-12,-22.5,-17.2,-14,-28,-18.9,-19.1,84.8,0.4,100,4.17,snow,0,8.3,20.2,7.2,239.6,1042,76.7,7.9,22.5,2,1,,2020-12-06T09:44:27,2020-12-06T17:28:45,0.7,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-07,-5,-14,-9.5,-7.5,-19.1,-12.8,-11.3,86.4,0.4,100,4.17,snow,10,9.6,21.6,10.8,192.2,1033.7,70.3,13.5,29.7,2.6,2,,2020-12-07T09:45:43,2020-12-07T17:28:22,0.74,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-08,-7,-17,-11.7,-7.5,-23.9,-15.3,-13.8,84.5,0,0,0,,0,10,20.2,14.4,265,1030.6,84.1,12.4,13.6,1.2,1,,2020-12-08T09:46:56,2020-12-08T17:28:03,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-09,-7,-15,-10.7,-7,-20.3,-14.6,-12.6,85.9,0,0,0,,0,10,20.5,18,313.7,1031.9,75.4,13.5,28,2.4,1,,2020-12-09T09:48:07,2020-12-09T17:27:47,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-10,-5.9,-15,-10,-5.9,-21.5,-11.7,-11.6,88.2,0,0,0,,0,10,16.6,10.8,313.2,1036.1,89.4,9.7,19.1,1.7,1,,2020-12-10T09:49:15,2020-12-10T17:27:34,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-11,-8,-20,-13.3,-8,-27.5,-15.2,-15.1,86.3,0,0,0,,0,10,15.8,10.8,234.3,1043.1,89.3,10.5,25.8,2.4,1,,2020-12-11T09:50:20,2020-12-11T17:27:26,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-12,-13.2,-22,-17.7,-16.3,-26.9,-21.5,-19.9,83.3,0,0,0,,0,10,23,10.8,199.2,1041.3,25.3,13.5,35.1,3.1,2,,2020-12-12T09:51:22,2020-12-12T17:27:21,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-13,-11,-21,-17.4,-12.6,-26.9,-21.5,-20.1,79.8,0,0,0,,0,10,21.6,10.8,206.1,1038,67.7,12.4,34,2.8,2,,2020-12-13T09:52:21,2020-12-13T17:27:19,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-14,-11.3,-23,-17.8,-11.3,-29.2,-20.1,-20.3,80.4,0,0,0,,0,10,16.9,18,246.1,1036.8,33.4,11.5,35.3,3.1,2,,2020-12-14T09:53:16,2020-12-14T17:27:22,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-15,-10.5,-22,-16.3,-12.3,-28,-21,-19,80.3,0,0,0,,0,10,23.8,14.4,211.5,1038,75.4,13.5,34.5,2.8,2,,2020-12-15T09:54:09,2020-12-15T17:27:28,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-16,-6,-19,-13.4,-11.6,-26.3,-19.2,-16.9,75.4,0,0,0,,0,10,32.4,18,187.1,1035.4,90,13.5,29.7,2.6,2,,2020-12-16T09:54:58,2020-12-16T17:27:38,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
Kostanay Kazakhstan,2020-12-17,-6.2,-13,-9.7,-14.4,-20.2,-17.5,-13.6,73.8,0,0,0,,0,10,41,32.4,192.5,1027.9,82.8,13.5,21.1,2,1,,2020-12-17T09:55:45,2020-12-17T17:27:51,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"UAUU,28952099999"
