name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"petropavlovsk, kazakhstan",2017-11-01,7,1,3.3,4.3,-4.6,-0.6,0.6,84,0.3,100,4.17,rain,0,0.6,34.2,28.8,202.9,1010.7,45.6,8.7,62.3,5.3,3,,2017-11-01T08:26:30,2017-11-01T17:46:33,0.4,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-02,5.8,1.8,4.2,3,-1.4,0.4,0.1,75.5,0.4,100,4.17,rain,0,0.4,40.7,32.4,208.1,1014,66.7,10,58.4,5,3,,2017-11-02T08:28:32,2017-11-02T17:44:29,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-03,3,-1.1,0.9,1.4,-5.1,-2.1,-1.6,83.5,0,0,0,,0,0.1,27,25.2,233.2,1009.9,81.1,9.4,26.9,2.3,1,,2017-11-03T08:30:34,2017-11-03T17:42:27,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-04,2,-3.2,-1.4,-1.8,-8,-5.1,-3,89.4,0,0,0,,0,0,25.2,21.6,236.1,1019.2,48.4,7.2,47,4,2,,2017-11-04T08:32:36,2017-11-04T17:40:27,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-05,1,-4.3,-1.1,-2.4,-9.2,-5.4,-2.4,90.6,1,100,4.17,"rain,snow",0.2,2.3,28.8,18,222.2,1020.9,74.6,8.6,23.1,2,1,,2017-11-05T08:34:38,2017-11-05T17:38:29,0.54,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-06,0.6,-4.9,-2.4,-3.6,-9.7,-7.1,-4.4,86.2,0.3,100,4.17,"rain,snow",0,2.2,26.6,21.6,245.5,1022,64,9.6,39.4,3.3,2,,2017-11-06T08:36:40,2017-11-06T17:36:32,0.57,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,rain,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-07,1.3,-1,0.2,-1.1,-4.9,-3.5,-1.8,86.3,0,0,0,,0,1.3,31,18,263,1024.1,94.1,9.7,25.7,2.1,1,,2017-11-07T08:38:42,2017-11-07T17:34:37,0.61,Overcast,Cloudy skies throughout the day.,cloudy,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-08,1,-0.2,0.4,-3.1,-6.7,-4.6,-1.6,86.8,0.4,100,16.67,"rain,snow",0,0.7,57.6,32.4,225.2,1018.9,90.6,9.7,27.7,2.4,2,,2017-11-08T08:40:43,2017-11-08T17:32:44,0.64,"Snow, Rain, Overcast",Cloudy skies throughout the day with late afternoon rain or snow.,rain,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-09,1,-1.1,-0.3,-3.1,-6.4,-4.8,-1.6,90.6,0.2,100,4.17,"rain,snow",0.1,0.9,38.9,21.6,252.4,1009.4,91.5,8.6,26.3,2.1,1,,2017-11-09T08:42:44,2017-11-09T17:30:54,0.68,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-10,-0.9,-6.1,-3.2,-5.1,-11.1,-8.1,-6.7,77,0.6,100,8.33,"rain,snow",0,1.2,38.9,25.2,293.6,1021.6,71.1,10,38.4,3.3,2,,2017-11-10T08:44:45,2017-11-10T17:29:05,0.71,"Snow, Rain, Partially cloudy",Clearing in the afternoon with rain or snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-11,-1,-5.8,-3.3,-2.6,-8.3,-5.8,-5.2,86.2,0.2,100,4.17,"rain,snow",0,1.1,17.6,14.4,182,1030.9,83.3,10,34.9,3,2,,2017-11-11T08:46:46,2017-11-11T17:27:18,0.75,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-12,1.1,-6,-2.3,-2.3,-11.7,-6,-4.1,87.8,0,0,0,,0,1.2,22.7,16.2,199.5,1027.7,77.8,9.7,37.2,3,2,,2017-11-12T08:48:46,2017-11-12T17:25:33,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-13,1,-3.1,-0.4,1,-5.3,-2.4,-0.9,96.2,0.6,100,4.17,"rain,snow",0,1.3,13.3,7.2,116.4,1023.7,93.8,7.6,31.1,2.8,2,,2017-11-13T08:50:46,2017-11-13T17:23:51,0.82,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-14,0.2,-2.1,-0.7,0.1,-5.8,-4,-1.8,92.3,0,0,0,,0,1.3,20.2,18,76.6,1024.8,97.4,8.8,13.4,1.1,1,,2017-11-14T08:52:45,2017-11-14T17:22:11,0.85,Overcast,Cloudy skies throughout the day.,cloudy,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-15,-1.6,-4,-2.6,-4.7,-9.2,-6.9,-4.5,87.1,0,0,0,,0,1.3,28.1,16.2,127.4,1029.2,97.5,9.2,18.9,1.7,1,,2017-11-15T08:54:43,2017-11-15T17:20:33,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-16,2,-2.5,0.5,-3.2,-7.8,-4.9,-1.2,88.7,0.1,100,4.17,"rain,snow",0,1.4,43.2,32.4,189.3,1024.2,93.9,9.5,16.1,1.4,1,,2017-11-16T08:56:41,2017-11-16T17:18:58,0.92,"Snow, Rain, Overcast",Cloudy skies throughout the day with afternoon rain or snow.,rain,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-17,2.3,0.9,1.6,-0.9,-5,-3.1,1,95.9,1.1,100,8.33,rain,0.1,1.3,64.8,28.8,208.5,1017.1,98.2,6.9,11.8,1.2,1,,2017-11-17T08:58:38,2017-11-17T17:17:25,0.96,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-18,1.6,-2.7,-0.4,-0.7,-7.3,-4.1,-1.9,89.7,1,100,4.17,"rain,snow",0.2,1,31.7,18,272.1,1016.6,88.7,8.6,28.6,2.4,2,,2017-11-18T09:00:34,2017-11-18T17:15:55,0,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with early morning snow or rain.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-19,0.4,-3.3,-1.3,-3.1,-8.7,-5.8,-3.7,83.7,0.6,100,4.17,snow,0,1,32.4,21.6,239.1,1025.5,81,9.6,36.9,3.3,2,,2017-11-19T09:02:29,2017-11-19T17:14:27,0.03,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-20,1.4,-2,-0.1,-2.3,-8,-4.9,-2.4,85,0.1,100,4.17,"rain,snow",0,1.1,33.5,25.2,223.6,1030.5,68.4,10,35.7,3,2,,2017-11-20T09:04:23,2017-11-20T17:13:03,0.06,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with morning rain or snow.,rain,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-21,2.9,-2.8,-0.5,-1.3,-7.5,-4.9,-4,78.2,0,0,0,,0,1,31,21.6,219,1030.7,56.5,10,32,2.8,2,,2017-11-21T09:06:16,2017-11-21T17:11:40,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-22,2,-5,-2.2,-1.8,-11.2,-6.4,-6.6,72.4,0,0,0,,0,1,25.2,18,154.6,1027.5,67.4,10,38.7,3.4,2,,2017-11-22T09:08:07,2017-11-22T17:10:21,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-23,5.5,-6.1,-2.1,2.8,-10.8,-6.2,-6.2,74.7,0,0,0,,0,1.2,23,18,139.8,1025,10,10,41.5,3.6,2,,2017-11-23T09:09:58,2017-11-23T17:09:05,0.16,Clear,Clear conditions throughout the day.,clear-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-24,3.1,-7,-3,-0.6,-14.3,-7.7,-7.7,70.6,0,0,0,,0,1.4,26.3,21.6,135.2,1022.5,0,10,41,3.5,2,,2017-11-24T09:11:47,2017-11-24T17:07:51,0.19,Clear,Clear conditions throughout the day.,clear-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-25,-1,-9.5,-6.3,-5.5,-16.1,-10.6,-8.7,83,0,0,0,,0,1.2,31,21.6,333.5,1019.6,19.1,9.2,38.3,3.3,2,,2017-11-25T09:13:34,2017-11-25T17:06:41,0.22,Clear,Clear conditions throughout the day.,clear-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-26,-8.6,-14,-10.9,-13.9,-20.7,-17.9,-15.1,72.1,0,0,0,,0,1,29.9,23.4,76.5,1032.7,33.4,10,37.9,3.3,2,,2017-11-26T09:15:20,2017-11-26T17:05:34,0.25,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-27,-6.9,-14.9,-11.7,-12.9,-23.6,-18.5,-15.7,73,0,0,0,,0,0.8,24.5,21.6,128.5,1035.6,9.6,10,37.6,3.3,2,,2017-11-27T09:17:04,2017-11-27T17:04:30,0.29,Clear,Clear conditions throughout the day.,clear-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-28,-1,-11,-5.3,-1.1,-14.7,-7.6,-7.8,82.5,0,0,0,,0,0.6,16.2,10.8,199.8,1035.6,76,10,33.7,2.9,2,,2017-11-28T09:18:46,2017-11-28T17:03:29,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-29,-1.4,-10.4,-6.5,-1.4,-15.5,-9,-8.4,86.7,0,0,0,,0,0.4,12.6,10.8,118.3,1035.8,66.7,3.7,20.4,1.8,1,,2017-11-29T09:20:27,2017-11-29T17:02:32,0.35,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-11-30,-6.4,-14,-10.8,-11.6,-20.3,-15.2,-12.6,86.5,0,0,0,,0,0.3,18.4,14.4,60.5,1034.2,34.5,7.8,35.4,3.1,2,,2017-11-30T09:22:05,2017-11-30T17:01:38,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-01,-9,-12.6,-10.5,-9.1,-19.3,-14.6,-11.7,91.3,0,0,0,,0,0.1,18,14.4,35.2,1036.2,73.7,4.5,15.7,1.2,1,,2017-12-01T09:23:41,2017-12-01T17:00:47,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-02,-9.2,-13,-10.6,-9.8,-20.3,-13.2,-12,89,0.2,100,4.17,snow,0,0.6,15.8,14.4,256.6,1039.8,86,9,12.6,1,1,,2017-12-02T09:25:15,2017-12-02T17:00:00,0.45,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-03,-6,-13.4,-9.2,-10.9,-18.7,-15.2,-10.7,88.9,0,0,0,,0,1,31.3,21.6,224.7,1039.2,83.8,8.7,21.7,1.9,1,,2017-12-03T09:26:47,2017-12-03T16:59:16,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-04,-2.8,-8,-5.7,-9.7,-16.2,-12.6,-9,77.4,0.2,100,4.17,snow,0,0.9,57.6,32.4,224.3,1032.2,95.2,10,17.5,1.5,1,,2017-12-04T09:28:16,2017-12-04T16:58:36,0.52,"Snow, Overcast",Cloudy skies throughout the day with late afternoon snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-05,-2.3,-4,-3.1,-6.6,-11.1,-8.6,-7.4,72.3,0.3,100,12.5,snow,0.3,1,37.4,25.2,230,1028.1,86.3,10,19.1,1.6,1,,2017-12-05T09:29:43,2017-12-05T16:58:00,0.55,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-06,-1,-4.4,-2.9,-5.3,-9.9,-7.8,-7.2,72.4,0,0,0,,0,0.7,28.1,21.6,225.7,1029.6,81.6,10,29.3,2.7,2,,2017-12-06T09:31:07,2017-12-06T16:57:28,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-07,-1.8,-10,-5.3,-3.9,-17.4,-9.3,-8.3,79.8,0,0,0,,0,0.6,28.1,21.6,145.6,1030.8,75,9.8,28.8,2.6,2,,2017-12-07T09:32:28,2017-12-07T16:56:59,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-08,-4.6,-11,-8.7,-11.6,-19.4,-16.2,-11.7,79.2,0,0,0,,0,0.5,40.7,32.4,124.9,1022.6,77.8,10,20,1.8,1,,2017-12-08T09:33:46,2017-12-08T16:56:34,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-09,-4,-8.1,-6.7,-9.2,-17.4,-14.4,-10.8,73.2,0,0,0,,0,0.6,79.2,37.8,121.6,1009.8,93.1,9.1,16.1,1.4,1,,2017-12-09T09:35:02,2017-12-09T16:56:13,0.69,Overcast,Cloudy skies throughout the day.,cloudy,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-10,-4.1,-11,-7.3,-8.7,-17.8,-12.2,-8.8,88.7,0.3,100,4.17,snow,0.4,1.5,25.9,18,117.4,1012.8,75.1,8.6,18.2,1.4,1,,2017-12-10T09:36:14,2017-12-10T16:55:56,0.75,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-11,-6.4,-12.7,-9.6,-10,-19,-16,-11,89.6,3,100,8.33,snow,1.1,6.3,33.1,21.6,304.7,1021.6,84.1,8.6,14.4,1.1,1,,2017-12-11T09:37:23,2017-12-11T16:55:43,0.76,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-12,-10,-19.1,-13.7,-10,-19.1,-15.2,-15.2,88.2,0.4,100,8.33,snow,0,9.8,18,8.6,327.9,1035.2,74.3,6.7,17.9,1.6,1,,2017-12-12T09:38:29,2017-12-12T16:55:33,0.79,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-13,-17,-24,-19.2,-17,-31.7,-21.9,-21.3,83.8,0.1,100,4.17,snow,0,11.1,16.9,9.4,190.5,1044.6,73.7,3.3,18.6,1.6,1,,2017-12-13T09:39:32,2017-12-13T16:55:28,0.83,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"28676099999,remote,UACP"
"petropavlovsk, kazakhstan",2017-12-14,-15.7,-25.4,-21.9,-17,-33.7,-27.9,-24,83.6,0.2,100,4.17,snow,7,8.4,25.2,18,150.1,1046.8,51.4,10,24.5,2.1,1,,2017-12-14T09:40:31,2017-12-14T16:55:27,0.86,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"28676099999,remote,UACP"
