name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Atbasar kazakhstan,2024-11-01,5.5,-1.8,1.5,0,0,-5.6,-2.1,78.6,0.5,0,0,,,0,55.8,22.7,206.7,1022,70.1,18,,,,,2024-11-01T08:21:20,2024-11-01T17:58:14,0,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-02,4.1,-2.9,0.5,0,0,-7.4,-2.3,82.8,0.6,0,0,,,0,57.6,21.6,190.6,1022.7,77.9,18.1,,,,,2024-11-02T08:23:08,2024-11-02T17:56:26,0.02,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-03,2.7,-2.1,0.1,0,0,-6.4,-2.1,85.5,2.5,0,0,,,0.6,57.6,24.8,176.3,1023.2,87.2,15.4,,,,,2024-11-03T08:24:55,2024-11-03T17:54:39,0.06,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-04,2.5,-2.7,-0.4,0,0,-8.3,-2.8,84.2,2,0,0,,,1,57.6,27.7,202.9,1024.1,83.3,16.8,,,,,2024-11-04T08:26:43,2024-11-04T17:52:54,0.09,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-05,3,-3,-0.3,0,0,-8.6,-3.3,81.8,1.4,0,0,,,1,65.9,31.3,189.5,1023.5,78.1,18.9,,,,,2024-11-05T08:28:30,2024-11-05T17:51:10,0.13,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-06,2.4,-2.9,-0.6,0,0,-8.6,-3.7,81.1,0.6,0,0,,,1,57.6,27.4,211.6,1020.5,84.3,17.9,,,,,2024-11-06T08:30:17,2024-11-06T17:49:28,0.16,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-07,1.1,-4.8,-1.9,0,0,-10,-5.5,78.5,1,0,0,,,0.6,63,25.6,220.7,1020.8,73.3,19.6,,,,,2024-11-07T08:32:05,2024-11-07T17:47:48,0.2,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-08,-0.1,-7.1,-3.8,0,0,-13.2,-6.9,81.3,1.3,0,0,,,1,57.6,29.2,216,1023,71.4,19.7,,,,,2024-11-08T08:33:52,2024-11-08T17:46:10,0.23,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-09,-0.6,-8.1,-4.4,0,0,-14.3,-7.3,81.8,1.2,0,0,,,0.4,72,27.4,212.2,1023.9,69.9,17.6,,,,,2024-11-09T08:35:38,2024-11-09T17:44:34,0.25,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-10,-1.4,-7.8,-4.9,0,0,-13.1,-7.6,82.4,0.9,0,0,,,4.7,64.8,24.8,196.5,1027,77.4,17.3,,,,,2024-11-10T08:37:25,2024-11-10T17:43:00,0.3,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-11,-0.3,-6.6,-3.8,0,0,-11.6,-6.2,84.1,0.9,0,0,,,8.9,,23,202.5,1027,73.4,16.4,,,,,2024-11-11T08:39:11,2024-11-11T17:41:28,0.34,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-12,-0.5,-7.2,-3.8,0,0,-12.7,-6.2,84.2,0.7,0,0,,,9,59.4,24.8,214.9,1023.3,71.3,17.4,,,,,2024-11-12T08:40:57,2024-11-12T17:39:58,0.37,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-13,-1,-6.1,-3.6,0,0,-11.8,-5.9,84.3,0.2,0,0,,,3.9,72,25.2,191.9,1021.2,77.7,17.7,,,,,2024-11-13T08:42:42,2024-11-13T17:38:31,0.41,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-14,-1.5,-6.5,-4,0,0,-12.2,-6.1,86.1,0.9,0,0,,,1.1,61.2,24.1,204.5,1018.7,84,15.5,,,,,2024-11-14T08:44:27,2024-11-14T17:37:05,0.44,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-15,-3.1,-9,-6.3,0,0,-14.4,-8.4,85.5,1.3,0,0,,,5,57.6,23.8,204.7,1022.7,70.2,15,,,,,2024-11-15T08:46:12,2024-11-15T17:35:42,0.48,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-16,-2.9,-9.3,-6.1,0,0,-15.3,-8.3,84.5,0.3,0,0,,,5,57.6,23.8,203,1026.1,78.8,14.1,,,,,2024-11-16T08:47:55,2024-11-16T17:34:21,0.5,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-17,-3.4,-8.3,-5.8,0,0,-14.9,-7.6,87.1,0.5,0,0,,,5,,26.6,211.6,1025.3,82.9,12,,,,,2024-11-17T08:49:38,2024-11-17T17:33:02,0.54,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-18,-4.6,-9.9,-7.2,0,0,-15.4,-9.1,86,1.3,0,0,,,5.6,64.8,25.6,216.2,1024.8,73.8,17,,,,,2024-11-18T08:51:21,2024-11-18T17:31:46,0.58,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-19,-4.8,-12.1,-8.4,0,0,-17.9,-10.6,84.4,0.6,0,0,,,8,61.2,24.1,196.1,1029.4,68.6,16.8,,,,,2024-11-19T08:53:02,2024-11-19T17:30:33,0.61,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-20,-6.6,-13,-9.8,0,0,-20.2,-12.1,83.6,0.5,0,0,,,7.9,57.6,23.8,184.3,1032.8,65.4,17.4,,,,,2024-11-20T08:54:43,2024-11-20T17:29:22,0.64,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-21,-6.1,-12.8,-9.6,0,0,-20.1,-12,82.6,0.4,0,0,,,9,57.6,21.6,168,1031.1,69.7,17.1,,,,,2024-11-21T08:56:22,2024-11-21T17:28:13,0.67,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-22,-6.1,-12.7,-9.6,0,0,-19.3,-12,82.8,0.5,0,0,,,9,66.6,23.4,197.9,1029.4,64.1,16.5,,,,,2024-11-22T08:58:01,2024-11-22T17:27:08,0.71,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-23,-4.9,-12.3,-8.8,0,0,-18.6,-11,83.8,0.3,0,0,,,9,55.1,24.5,217.2,1027.5,68.3,16.1,,,,,2024-11-23T08:59:38,2024-11-23T17:26:05,0.75,Partially cloudy,,partly-cloudy-day,
Atbasar kazakhstan,2024-11-24,-4.5,-11.3,-8.1,0,0,-18.2,-10.1,85.5,0.5,0,0,,,7.8,68.4,23.8,203.8,1024.3,73.8,15,,,,,2024-11-24T09:01:14,2024-11-24T17:25:04,0.77,Partially cloudy,,partly-cloudy-day,
